"","Model","Region","Scenario","Year","Inequality index|Gini","Gini_recomputed","Gini_full"
"80","AIM","United States","1150",2045,0.447565,0.436839126318918,0.447565
"81","AIM","United States","1150",2050,0.450041,0.439143013028384,0.450041
"82","AIM","Brazil","1150_redist",2010,0.533423,0.5183285,0.533423
"83","AIM","Brazil","1150_redist",2015,0.534426,0.519366948715127,0.534426
"84","AIM","Brazil","1150_redist",2020,0.535429,0.520405398364858,0.535429
"85","AIM","Brazil","1150_redist",2025,0.5028995,0.483430874200806,0.5028995
"86","AIM","Brazil","1150_redist",2030,0.47037,0.446456390708722,0.47037
"87","AIM","Brazil","1150_redist",2035,0.5059525,0.486359380228592,0.5059525
"88","AIM","Brazil","1150_redist",2040,0.541535,0.526262360969809,0.541535
"89","AIM","Brazil","1150_redist",2045,0.541615,0.526301224978126,0.541615
"90","AIM","Brazil","1150_redist",2050,0.541695,0.526340088995383,0.541695
"91","AIM","Canada","1150_redist",2010,0.332456,0.325848042584804,0.332456
"92","AIM","Canada","1150_redist",2015,0.337324,0.330595041529752,0.337324
"93","AIM","Canada","1150_redist",2020,0.342192,0.33534204,0.342192
"94","AIM","Canada","1150_redist",2025,0.328828,0.317891962683794,0.328828
"95","AIM","Canada","1150_redist",2030,0.315464,0.300441880132564,0.315464
"96","AIM","Canada","1150_redist",2035,0.327026,0.313040083912025,0.327026
"97","AIM","Canada","1150_redist",2040,0.338588,0.325638287691486,0.338588
"98","AIM","Canada","1150_redist",2045,0.3442335,0.331011015348348,0.3442335
"99","AIM","Canada","1150_redist",2050,0.349879,0.336383738169757,0.349879
"100","AIM","China","1150_redist",2010,0.434617,0.423291510683396,0.434617
"101","AIM","China","1150_redist",2015,0.409622,0.39956240026256,0.409622
"102","AIM","China","1150_redist",2020,0.384627,0.37583329933336,0.384627
"103","AIM","China","1150_redist",2025,0.3296585,0.306820056248969,0.3296585
"104","AIM","China","1150_redist",2030,0.27469,0.237806778657967,0.27469
"105","AIM","China","1150_redist",2035,0.2837985,0.254415492792254,0.2837985
"106","AIM","China","1150_redist",2040,0.292907,0.27102420028306,0.292907
"107","AIM","China","1150_redist",2045,0.2917085,0.272122588120318,0.2917085
"108","AIM","China","1150_redist",2050,0.29051,0.273220976067415,0.29051
"109","AIM","France","1150_redist",2010,0.333756,0.327087073543537,0.333756
"110","AIM","France","1150_redist",2015,0.3292215,0.322691501345751,0.3292215
"111","AIM","France","1150_redist",2020,0.324687,0.318295929147964,0.324687
"112","AIM","France","1150_redist",2025,0.317835,0.309699670969967,0.317835
"113","AIM","France","1150_redist",2030,0.310983,0.301103419668974,0.310983
"114","AIM","France","1150_redist",2035,0.3136385,0.304321950216098,0.3136385
"115","AIM","France","1150_redist",2040,0.316294,0.307540483016194,0.316294
"116","AIM","France","1150_redist",2045,0.3158725,0.30715553214666,0.3158725
"117","AIM","France","1150_redist",2050,0.315451,0.306770581354117,0.315451
"118","AIM","India","1150_redist",2010,0.354036,0.345960130556144,0.354036
"119","AIM","India","1150_redist",2015,0.3641825,0.35549864717385,0.3641825
"120","AIM","India","1150_redist",2020,0.374329,0.365037159022295,0.374329
"121","AIM","India","1150_redist",2025,0.3469635,0.326975540790216,0.3469635
"122","AIM","India","1150_redist",2030,0.319598,0.288913937782787,0.319598
"123","AIM","India","1150_redist",2035,0.3440485,0.318287575486273,0.3440485
"124","AIM","India","1150_redist",2040,0.368499,0.347661219064488,0.368499
"125","AIM","India","1150_redist",2045,0.383493,0.36388137,0.383493
"126","AIM","India","1150_redist",2050,0.398487,0.380101507959397,0.398487
"127","AIM","Japan","1150_redist",2010,0.31928,0.312936022587205,0.31928
"128","AIM","Japan","1150_redist",2015,0.32016,0.313806511380651,0.32016
"129","AIM","Japan","1150_redist",2020,0.32104,0.314677,0.32104
"130","AIM","Japan","1150_redist",2025,0.3091305,0.299323080304614,0.3091305
"131","AIM","Japan","1150_redist",2030,0.297221,0.283969174427743,0.297221
