,Model,Region,Variable,Unit,Year,WP4_REF,Scenario,value,change,DEC
54,AIM,JPN,Consumption Decile|D2,%,2040,4.4884,WP4_1150_redist,4.89507,9.060466982,2
55,AIM,JPN,Consumption Decile|D2,%,2040,4.4884,WP4_650,4.48039,-0.17846003,2
56,AIM,JPN,Consumption Decile|D2,%,2040,4.4884,WP4_650_redist,5.09237,13.45624276,2
57,AIM,JPN,Consumption Decile|D2,%,2050,4.46136,WP4_1150,4.46096,-0.008965876,2
58,AIM,JPN,Consumption Decile|D2,%,2050,4.46136,WP4_1150_redist,4.86677,9.087139348,2
59,AIM,JPN,Consumption Decile|D2,%,2050,4.46136,WP4_650,4.45555,-0.130229347,2
60,AIM,JPN,Consumption Decile|D2,%,2050,4.46136,WP4_650_redist,4.92591,10.4127441,2
61,AIM,JPN,Consumption Decile|D2,%,2060,4.446245951,WP4_1150,4.44272851,-0.079110343,2
62,AIM,JPN,Consumption Decile|D2,%,2060,4.446245951,WP4_1150_redist,4.908102124,10.38755343,2
63,AIM,JPN,Consumption Decile|D2,%,2060,4.446245951,WP4_650,4.44243496,-0.085712533,2
64,AIM,JPN,Consumption Decile|D2,%,2060,4.446245951,WP4_650_redist,4.792790676,7.794097073,2
65,AIM,JPN,Consumption Decile|D2,%,2070,4.459262237,WP4_1150,4.457560005,-0.038172966,2
66,AIM,JPN,Consumption Decile|D2,%,2070,4.459262237,WP4_1150_redist,4.782747868,7.254241025,2
67,AIM,JPN,Consumption Decile|D2,%,2070,4.459262237,WP4_650,4.457287145,-0.044291903,2
68,AIM,JPN,Consumption Decile|D2,%,2070,4.459262237,WP4_650_redist,4.759897185,6.741809117,2
69,AIM,JPN,Consumption Decile|D2,%,2080,4.466394377,WP4_1150,4.465602714,-0.01772487,2
70,AIM,JPN,Consumption Decile|D2,%,2080,4.466394377,WP4_1150_redist,4.718341084,5.640941809,2
71,AIM,JPN,Consumption Decile|D2,%,2080,4.466394377,WP4_650,4.465189289,-0.026981213,2
72,AIM,JPN,Consumption Decile|D2,%,2080,4.466394377,WP4_650_redist,4.726145413,5.815676234,2
73,AIM,JPN,Consumption Decile|D2,%,2090,4.484488013,WP4_1150,4.484109904,-0.008431487,2
74,AIM,JPN,Consumption Decile|D2,%,2090,4.484488013,WP4_1150_redist,4.704597978,4.908251823,2
75,AIM,JPN,Consumption Decile|D2,%,2090,4.484488013,WP4_650,4.483555318,-0.020798268,2
76,AIM,JPN,Consumption Decile|D2,%,2090,4.484488013,WP4_650_redist,4.705765914,4.934295731,2
77,AIM,JPN,Consumption Decile|D2,%,2100,4.503482991,WP4_1150,4.503490102,0.000157903,2
78,AIM,JPN,Consumption Decile|D2,%,2100,4.503482991,WP4_1150_redist,4.69280133,4.203820452,2
79,AIM,JPN,Consumption Decile|D2,%,2100,4.503482991,WP4_650,4.502804967,-0.015055541,2
80,AIM,JPN,Consumption Decile|D2,%,2100,4.503482991,WP4_650_redist,4.690293459,4.148133078,2
81,AIM,JPN,Consumption Decile|D3,%,2010,5.70524,WP4_1150,5.70524,0,3
82,AIM,JPN,Consumption Decile|D3,%,2010,5.70524,WP4_1150_redist,5.70524,0,3
83,AIM,JPN,Consumption Decile|D3,%,2010,5.70524,WP4_650,5.70524,0,3
84,AIM,JPN,Consumption Decile|D3,%,2010,5.70524,WP4_650_redist,5.70524,0,3
85,AIM,JPN,Consumption Decile|D3,%,2020,5.68063,WP4_1150,5.68063,0,3
86,AIM,JPN,Consumption Decile|D3,%,2020,5.68063,WP4_1150_redist,5.68063,0,3
87,AIM,JPN,Consumption Decile|D3,%,2020,5.68063,WP4_650,5.68063,0,3
88,AIM,JPN,Consumption Decile|D3,%,2020,5.68063,WP4_650_redist,5.68063,0,3
89,AIM,JPN,Consumption Decile|D3,%,2030,5.61667,WP4_1150,5.60388,-0.227714998,3
90,AIM,JPN,Consumption Decile|D3,%,2030,5.61667,WP4_1150_redist,6.11634,8.896196501,3
91,AIM,JPN,Consumption Decile|D3,%,2030,5.61667,WP4_650,5.60243,-0.253531007,3
92,AIM,JPN,Consumption Decile|D3,%,2030,5.61667,WP4_650_redist,6.39178,13.80016985,3
93,AIM,JPN,Consumption Decile|D3,%,2040,5.58331,WP4_1150,5.58292,-0.006985104,3
94,AIM,JPN,Consumption Decile|D3,%,2040,5.58331,WP4_1150_redist,5.95688,6.690833932,3
95,AIM,JPN,Consumption Decile|D3,%,2040,5.58331,WP4_650,5.57359,-0.17409028,3
96,AIM,JPN,Consumption Decile|D3,%,2040,5.58331,WP4_650_redist,6.13581,9.895563743,3
97,AIM,JPN,Consumption Decile|D3,%,2050,5.5572,WP4_1150,5.55679,-0.007377816,3
98,AIM,JPN,Consumption Decile|D3,%,2050,5.5572,WP4_1150_redist,5.93095,6.725509249,3
99,AIM,JPN,Consumption Decile|D3,%,2050,5.5572,WP4_650,5.55021,-0.125782768,3
100,AIM,JPN,Consumption Decile|D3,%,2050,5.5572,WP4_650_redist,5.98481,7.694702368,3
101,AIM,JPN,Consumption Decile|D3,%,2060,5.542584252,WP4_1150,5.538316059,-0.077007286,3
102,AIM,JPN,Consumption Decile|D3,%,2060,5.542584252,WP4_1150_redist,5.967783534,7.671498757,3
103,AIM,JPN,Consumption Decile|D3,%,2060,5.542584252,WP4_650,5.538030847,-0.082153103,3
104,AIM,JPN,Consumption Decile|D3,%,2060,5.542584252,WP4_650_redist,5.862979829,5.780617156,3
105,AIM,JPN,Consumption Decile|D3,%,2070,5.555310844,WP4_1150,5.553160419,-0.038709354,3
106,AIM,JPN,Consumption Decile|D3,%,2070,5.555310844,WP4_1150_redist,5.854256029,5.38125036,3
107,AIM,JPN,Consumption Decile|D3,%,2070,5.555310844,WP4_650,5.552914722,-0.043132084,3
108,AIM,JPN,Consumption Decile|D3,%,2070,5.555310844,WP4_650_redist,5.833314561,5.00428734,3
109,AIM,JPN,Consumption Decile|D3,%,2080,5.562290197,WP4_1150,5.561249801,-0.018704457,3
110,AIM,JPN,Consumption Decile|D3,%,2080,5.562290197,WP4_1150_redist,5.795451973,4.191830475,3
111,AIM,JPN,Consumption Decile|D3,%,2080,5.562290197,WP4_650,5.560854984,-0.025802566,3
112,AIM,JPN,Consumption Decile|D3,%,2080,5.562290197,WP4_650_redist,5.802640672,4.321070395,3
113,AIM,JPN,Consumption Decile|D3,%,2090,5.579872338,WP4_1150,5.579374455,-0.008922833,3
114,AIM,JPN,Consumption Decile|D3,%,2090,5.579872338,WP4_1150_redist,5.783658954,3.652173442,3
115,AIM,JPN,Consumption Decile|D3,%,2090,5.579872338,WP4_650,5.578843819,-0.018432662,3
116,AIM,JPN,Consumption Decile|D3,%,2090,5.579872338,WP4_650_redist,5.78468521,3.670565549,3
117,AIM,JPN,Consumption Decile|D3,%,2100,5.598307068,WP4_1150,5.598309697,4.70E-05,3
118,AIM,JPN,Consumption Decile|D3,%,2100,5.598307068,WP4_1150_redist,5.773476154,3.128965324,3
119,AIM,JPN,Consumption Decile|D3,%,2100,5.598307068,WP4_650,5.597644869,-0.011828556,3
120,AIM,JPN,Consumption Decile|D3,%,2100,5.598307068,WP4_650_redist,5.771119717,3.086873357,3
121,AIM,JPN,Consumption Decile|D4,%,2010,6.75261,WP4_1150,6.75261,0,4
122,AIM,JPN,Consumption Decile|D4,%,2010,6.75261,WP4_1150_redist,6.75261,0,4
123,AIM,JPN,Consumption Decile|D4,%,2010,6.75261,WP4_650,6.75261,0,4
124,AIM,JPN,Consumption Decile|D4,%,2010,6.75261,WP4_650_redist,6.75261,0,4
125,AIM,JPN,Consumption Decile|D4,%,2020,6.73027,WP4_1150,6.73027,0,4
126,AIM,JPN,Consumption Decile|D4,%,2020,6.73027,WP4_1150_redist,6.73027,0,4
127,AIM,JPN,Consumption Decile|D4,%,2020,6.73027,WP4_650,6.73027,0,4
128,AIM,JPN,Consumption Decile|D4,%,2020,6.73027,WP4_650_redist,6.73027,0,4
129,AIM,JPN,Consumption Decile|D4,%,2030,6.67184,WP4_1150,6.65687,-0.224375884,4
130,AIM,JPN,Consumption Decile|D4,%,2030,6.67184,WP4_1150_redist,7.10764,6.531931221,4
131,AIM,JPN,Consumption Decile|D4,%,2030,6.67184,WP4_650,6.65532,-0.247607856,4
132,AIM,JPN,Consumption Decile|D4,%,2030,6.67184,WP4_650_redist,7.34021,10.01777621,4
133,AIM,JPN,Consumption Decile|D4,%,2040,6.6413,WP4_1150,6.64093,-0.005571198,4
134,AIM,JPN,Consumption Decile|D4,%,2040,6.6413,WP4_1150_redist,6.96912,4.936081791,4
135,AIM,JPN,Consumption Decile|D4,%,2040,6.6413,WP4_650,6.62997,-0.17059913,4
136,AIM,JPN,Consumption Decile|D4,%,2040,6.6413,WP4_650_redist,7.1233,7.257615226,4
137,AIM,JPN,Consumption Decile|D4,%,2050,6.61734,WP4_1150,6.61697,-0.005591371,4
138,AIM,JPN,Consumption Decile|D4,%,2050,6.61734,WP4_1150_redist,6.94595,4.96589264,4
139,AIM,JPN,Consumption Decile|D4,%,2050,6.61734,WP4_650,6.60927,-0.121952325,4
140,AIM,JPN,Consumption Decile|D4,%,2050,6.61734,WP4_650_redist,6.99259,5.670707565,4
141,AIM,JPN,Consumption Decile|D4,%,2060,6.603912508,WP4_1150,6.598932069,-0.075416492,4
142,AIM,JPN,Consumption Decile|D4,%,2060,6.603912508,WP4_1150_redist,6.977793087,5.661501096,4
143,AIM,JPN,Consumption Decile|D4,%,2060,6.603912508,WP4_650,6.59866664,-0.079435766,4
144,AIM,JPN,Consumption Decile|D4,%,2060,6.603912508,WP4_650_redist,6.886532387,4.279582423,4
145,AIM,JPN,Consumption Decile|D4,%,2070,6.615696408,WP4_1150,6.613113887,-0.039036264,4
146,AIM,JPN,Consumption Decile|D4,%,2070,6.615696408,WP4_1150_redist,6.879521256,3.987862074,4
147,AIM,JPN,Consumption Decile|D4,%,2070,6.615696408,WP4_650,6.612893087,-0.042373796,4
148,AIM,JPN,Consumption Decile|D4,%,2070,6.615696408,WP4_650_redist,6.861162569,3.71036012,4
149,AIM,JPN,Consumption Decile|D4,%,2080,6.622176549,WP4_1150,6.620888433,-0.019451545,4
150,AIM,JPN,Consumption Decile|D4,%,2080,6.622176549,WP4_1150_redist,6.828133588,3.110110964,4
151,AIM,JPN,Consumption Decile|D4,%,2080,6.622176549,WP4_650,6.620539768,-0.024716663,4
152,AIM,JPN,Consumption Decile|D4,%,2080,6.622176549,WP4_650_redist,6.834442367,3.205378419,4
153,AIM,JPN,Consumption Decile|D4,%,2090,6.638386248,WP4_1150,6.637767711,-0.00931758,4
154,AIM,JPN,Consumption Decile|D4,%,2090,6.638386248,WP4_1150_redist,6.818349622,2.710950644,4
155,AIM,JPN,Consumption Decile|D4,%,2090,6.638386248,WP4_650,6.637288562,-0.016535421,4
156,AIM,JPN,Consumption Decile|D4,%,2090,6.638386248,WP4_650_redist,6.819267945,2.724784159,4
157,AIM,JPN,Consumption Decile|D4,%,2100,6.655361929,WP4_1150,6.655358822,-4.67E-05,4
158,AIM,JPN,Consumption Decile|D4,%,2100,6.655361929,WP4_1150_redist,6.809917937,2.32227803,4
159,AIM,JPN,Consumption Decile|D4,%,2100,6.655361929,WP4_650,6.654752326,-0.009159578,4
160,AIM,JPN,Consumption Decile|D4,%,2100,6.655361929,WP4_650_redist,6.807864948,2.291430888,4
161,AIM,JPN,Consumption Decile|D5,%,2010,7.85509,WP4_1150,7.85509,0,5
162,AIM,JPN,Consumption Decile|D5,%,2010,7.85509,WP4_1150_redist,7.85509,0,5
163,AIM,JPN,Consumption Decile|D5,%,2010,7.85509,WP4_650,7.85509,0,5
164,AIM,JPN,Consumption Decile|D5,%,2010,7.85509,WP4_650_redist,7.85509,0,5
165,AIM,JPN,Consumption Decile|D5,%,2020,7.83608,WP4_1150,7.83608,0,5
166,AIM,JPN,Consumption Decile|D5,%,2020,7.83608,WP4_1150_redist,7.83608,0,5
167,AIM,JPN,Consumption Decile|D5,%,2020,7.83608,WP4_650,7.83608,0,5
