original,new
nde,India
brazil,Brazil
brazil,Brazil
canada,Canada
can,Canada
chn,China
china,China
jpn,Japan
mex,Mexico
fra,France
rus,Russia
zaf,South Africa
southafrica,South Africa
usa,United States
world,World
CHINA,China
CAN,Canada
FRA,France
CHN,China
IND,India
MEX,Mexico
BRA,Brazil
SAF,South Africa
USA,United States
JPN,Japan
RUS,Russia
CHA,China
CHI,China
